Link,Status,VideoId,Notes
https://www.instagram.com/reel/DbivmvViZE9/,,,web submission 2026-08-18; Students Protest Ranchi - Jaipal Singh Munda Stadium sit-in footage (login-walled to the automated collector; needs manual collection)
https://www.instagram.com/reel/DbnxJaPJT7_/,,,web submission 2026-08-18; YouTuber Manoj Dey visiting the Ranchi protest site (yt-dlp format unavailable; needs manual collection)
